Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2016-05-02,48.299999,48.638,41.622002,42.986,168933000,0.42539999999999994,-0.07473333333333333
2016-05-09,43.144001,43.23,40.731998,41.521999,102411000,0.07859,0.0
2016-05-16,41.630001,44.110001,40.804001,44.056,136419500,0.27433285714285716,0.10198888888888889
2016-05-23,43.973999,45.186001,43.035999,44.608002,94829000,0.4679666666666667,0.11796666666666662
2016-05-30,44.608002,44.950001,43.377998,43.798,50167500,0.40332222222222214,0.441725
2016-06-06,43.599998,48.169998,43.09,43.757999,124769000,0.05548133333333334,0.05752500000000001
2016-06-13,43.900002,45.153999,42.506001,43.094002,81173000,0.2396083333333333,0.1531
2016-06-20,43.900002,44.75,37.945999,38.630001,244920500,0.058975,0.3054541666666667
2016-06-27,38.172001,43.647999,37.574001,43.299999,148279000,0.22170000000000006,0.1919726190476191
2016-07-04,41.945999,43.962002,41.599998,43.355999,88910000,0.03000785714285716,-0.21527999999999997
2016-07-11,43.992001,45.5,43.902,44.080002,92391000,0.21522651515151514,-0.28498
2016-07-18,43.928001,45.959999,43.66,44.453999,80520500,0.1931511111111111,-0.17209666666666668
2016-07-25,44.453999,47.056,44.273998,46.958,81498000,0.37798666666666664,0.3452
2016-08-01,47.099998,47.326,44.279999,46.006001,95953500,-0.296,0.2489875
2016-08-08,45.599998,46.307999,44.681999,45.122002,52520500,0.4085083333333333,0.465825
2016-08-15,45.203999,45.900002,44.458,45.0,47312500,0.0,0.20793333333333333
2016-08-22,44.834,45.698002,43.764,43.998001,67110500,-0.2294,0.0
2016-08-29,44.029999,44.080002,39.240002,39.556,118161000,0.23128888888888888,0.20567777777777776
2016-09-05,39.804001,41.299999,38.740002,38.894001,75832000,0.06722,0.557725
2016-09-12,39.0,41.139999,38.689999,41.080002,78720500,0.05322916666666665,0.15092666666666668
2016-09-19,41.400002,42.035999,40.312,41.490002,63158000,0.32088409090909087,0.290632
